iitem,iname,date,index,avgprice,upt
-2030,Large Big Burger,21/03/05 0:00,1,13273,12.45371698
-2020,Double Cheeseburger,21/03/05 0:00,0.910947035,12091,9.633392097
-2010,Cheeseburger,21/03/05 0:00,0.685417871,9097.5514,49.06129357
-2114,Nuggets,28/03/05 0:00,0.815038047,10818,5.35524151
-2054,2-pc Chicken,28/03/05 0:00,0.869810894,11545,95.16349834
-2045,Chicken Burger,28/03/05 0:00,0.678068259,9000,20.83526382
-2030,Large Big Burger,28/03/05 0:00,1,13273,13.82082407
-2020,Double Cheeseburger,28/03/05 0:00,0.910947035,12091,10.31710093
-2010,Cheeseburger,28/03/05 0:00,0.684671031,9087.6386,52.01909914
-2114,Nuggets,04/04/05 0:00,0.815038047,10818,5.11216304
-2054,2-pc Chicken,04/04/05 0:00,0.869810894,11545,99.13089708
-2045,Chicken Burger,04/04/05 0:00,0.678068259,9000,18.64601616
-2030,Large Big Burger,04/04/05 0:00,1,13273,14.45629576
-2020,Double Cheeseburger,04/04/05 0:00,0.910947035,12091,11.30168275
-2010,Cheeseburger,04/04/05 0:00,0.685063121,9092.8428,54.96983577
-2114,Nuggets,11/04/05 0:00,0.815038047,10818,4.931754497
-2054,2-pc Chicken,11/04/05 0:00,0.869810894,11545,99.5335804
-2045,Chicken Burger,11/04/05 0:00,0.678068259,9000,17.81795173
-2030,Large Big Burger,11/04/05 0:00,1,13273,14.3035343
-2020,Double Cheeseburger,11/04/05 0:00,0.910947035,12091,11.77257525
-2010,Cheeseburger,11/04/05 0:00,0.685085708,9093.1426,53.89858086
-2114,Nuggets,18/04/05 0:00,0.815038047,10818,4.896324355
-2054,2-pc Chicken,18/04/05 0:00,0.869810894,11545,92.48096473
-2045,Chicken Burger,18/04/05 0:00,0.678068259,9000,17.00854658
-2030,Large Big Burger,18/04/05 0:00,1,13273,14.39363395
-2020,Double Cheeseburger,18/04/05 0:00,0.910947035,12091,15.68117976
-2010,Cheeseburger,18/04/05 0:00,0.68471613,9088.2372,56.01322057
-2114,Nuggets,25/04/05 0:00,0.815038047,10818,4.924501178
-2054,2-pc Chicken,25/04/05 0:00,0.869810894,11545,94.28091747
-2045,Chicken Burger,25/04/05 0:00,0.678068259,9000,17.11170699
-2030,Large Big Burger,25/04/05 0:00,1,13273,14.74291657
-2020,Double Cheeseburger,25/04/05 0:00,0.910947035,12091,17.46515635
-2010,Cheeseburger,25/04/05 0:00,0.684443238,9084.6151,55.870488
-2114,Nuggets,02/05/05 0:00,0.815038047,10818,4.590357772
-2054,2-pc Chicken,02/05/05 0:00,0.869810894,11545,90.01651353
-2045,Chicken Burger,02/05/05 0:00,0.678068259,9000,17.20842484
-2030,Large Big Burger,02/05/05 0:00,1,13273,14.11001073
-2020,Double Cheeseburger,02/05/05 0:00,0.910947035,12091,16.28447218
-2010,Cheeseburger,02/05/05 0:00,0.68438665,9083.864,54.73452225
-2114,Nuggets,09/05/05 0:00,0.815038047,10818,4.861863177
-2054,2-pc Chicken,09/05/05 0:00,0.869810894,11545,91.87556608
-2045,Chicken Burger,09/05/05 0:00,0.678068259,9000,17.476475
-2030,Large Big Burger,09/05/05 0:00,1,13273,14.20982759
-2020,Double Cheeseburger,09/05/05 0:00,0.910947035,12091,17.54028363
-2010,Cheeseburger,09/05/05 0:00,0.684447548,9084.6723,57.11404198
-2114,Nuggets,16/05/05 0:00,0.815038047,10818,4.986283825
-2054,2-pc Chicken,16/05/05 0:00,0.869810894,11545,95.07861921
-2045,Chicken Burger,16/05/05 0:00,0.678068259,9000,17.30401447
-2030,Large Big Burger,16/05/05 0:00,1,13273,14.3271286
-2020,Double Cheeseburger,16/05/05 0:00,0.910947035,12091,17.17766989
-2010,Cheeseburger,16/05/05 0:00,0.684825706,9089.6916,56.88967349
-2114,Nuggets,23/05/05 0:00,0.815038047,10818,4.519896614
-2054,2-pc Chicken,23/05/05 0:00,0.869810894,11545,90.91777707
-2045,Chicken Burger,23/05/05 0:00,0.678068259,9000,16.79373984
